t,n,e
124.668,300.615,-0.034
124.876,300.623,-0.030
125.084,300.629,-0.026
125.284,300.632,-0.025
125.492,300.633,-0.027
125.700,300.634,-0.030
125.900,300.635,-0.033
126.108,300.637,-0.036
126.308,300.638,-0.039
126.516,300.639,-0.038
126.724,300.640,-0.033
126.928,300.641,-0.025
127.128,300.638,-0.016
127.328,300.633,-0.008
127.528,300.624,-0.005
127.736,300.614,-0.005
127.940,300.604,-0.007
128.144,300.594,-0.009
128.352,300.584,-0.010
128.560,300.575,-0.010
128.768,300.568,-0.014
128.972,300.561,-0.016
129.180,300.553,-0.015
129.388,300.546,-0.014
129.596,300.541,-0.012
129.804,300.538,-0.013
130.012,300.539,-0.018
130.220,300.546,-0.026
130.428,300.557,-0.036
130.636,300.567,-0.044
130.836,300.576,-0.044
131.044,300.588,-0.039
131.252,300.601,-0.033
131.460,300.614,-0.027
131.668,300.627,-0.024
131.876,300.641,-0.026
132.084,300.654,-0.029
132.292,300.664,-0.035
132.500,300.670,-0.040
132.708,300.675,-0.046
132.916,300.678,-0.048
133.116,300.678,-0.046
133.324,300.674,-0.041
133.532,300.663,-0.035
133.740,300.649,-0.029
133.948,300.634,-0.024
134.156,300.619,-0.023
134.364,300.605,-0.025
134.572,300.591,-0.029
134.780,300.575,-0.034
134.988,300.559,-0.036
135.196,300.543,-0.037
135.404,300.532,-0.035
135.604,300.526,-0.033
135.812,300.525,-0.034
136.020,300.525,-0.038
136.228,300.525,-0.042
136.436,300.525,-0.047
136.644,300.530,-0.048
136.852,300.542,-0.050
137.060,300.555,-0.054
137.268,300.569,-0.058
137.476,300.582,-0.060
137.684,300.596,-0.063
137.892,300.606,-0.065
138.092,300.615,-0.065
138.300,300.626,-0.063
138.508,300.640,-0.059
138.716,300.654,-0.054
138.924,300.666,-0.050
139.132,300.673,-0.047
139.340,300.672,-0.041
139.548,300.661,-0.036
139.756,300.644,-0.031
139.964,300.626,-0.026
140.172,300.607,-0.023
140.372,300.593,-0.021
140.580,300.583,-0.023
140.788,300.576,-0.026
140.996,300.572,-0.028
141.204,300.571,-0.028
141.412,300.571,-0.024
141.620,300.571,-0.022
141.828,300.572,-0.018
142.036,300.576,-0.014
142.244,300.583,-0.010
142.452,300.591,-0.009
142.660,300.603,-0.008
142.860,300.615,-0.009
143.068,300.627,-0.013
143.276,300.639,-0.021
143.484,300.653,-0.032
143.692,300.665,-0.042
143.900,300.675,-0.049
144.108,300.686,-0.051
144.316,300.694,-0.047
144.524,300.694,-0.040
144.732,300.685,-0.035
144.940,300.673,-0.034
145.148,300.660,-0.037
145.348,300.646,-0.038
145.556,300.632,-0.038
145.764,300.619,-0.039
145.972,300.605,-0.037
146.180,300.595,-0.034
146.388,300.588,-0.031
146.596,300.584,-0.031
146.804,300.582,-0.035
147.012,300.579,-0.040
147.220,300.577,-0.048
147.428,300.579,-0.053
147.636,300.585,-0.053
147.836,300.596,-0.051
148.044,300.609,-0.048
148.252,300.622,-0.048
148.460,300.634,-0.050
148.668,300.648,-0.053
148.876,300.661,-0.055
149.084,300.672,-0.057
149.292,300.680,-0.056
149.500,300.685,-0.054
149.708,300.691,-0.052
149.916,300.695,-0.049
150.116,300.692,-0.047
150.324,300.680,-0.047
150.532,300.663,-0.049
150.740,300.644,-0.048
150.948,300.623,-0.043
151.156,300.603,-0.035
151.364,300.592,-0.031
151.572,300.595,-0.032
151.780,300.600,-0.031
151.988,300.602,-0.028
152.196,300.602,-0.027
