name,type,value,index,raw_float
RC_KILLSWITCH_TH,REAL32,0.75,1105,0.75
RC_LOITER_TH,REAL32,0.75,1106,0.75
RC_MAP_ARM_SW,INT32,12,1107,1.6815581571897805e-44
RC_MAP_AUX1,INT32,0,1108,0.0
RC_MAP_AUX2,INT32,0,1109,0.0
RC_MAP_AUX3,INT32,0,1110,0.0
RC_MAP_AUX4,INT32,0,1111,0.0
RC_MAP_AUX5,INT32,0,1112,0.0
RC_MAP_AUX6,INT32,0,1113,0.0
RC_MAP_ENG_MOT,INT32,0,1114,0.0
RC_MAP_FAILSAFE,INT32,0,1115,0.0
RC_MAP_FLAPS,INT32,0,1116,0.0
RC_MAP_FLTMODE,INT32,10,1117,1.401298464324817e-44
RC_MAP_FLTM_BTN,INT32,0,1118,0.0
RC_MAP_GEAR_SW,INT32,0,1119,0.0
RC_MAP_KILL_SW,INT32,11,1120,1.5414283107572988e-44
RC_MAP_LOITER_SW,INT32,0,1121,0.0
RC_MAP_MODE_SW,INT32,0,1122,0.0
RC_MAP_OFFB_SW,INT32,7,1123,9.80908925027372e-45
RC_MAP_PARAM1,INT32,0,1124,0.0
RC_MAP_PARAM2,INT32,0,1125,0.0
RC_MAP_PARAM3,INT32,0,1126,0.0
RC_MAP_PAY_SW,INT32,0,1127,0.0
RC_MAP_PITCH,INT32,2,1128,2.802596928649634e-45
RC_MAP_RETURN_SW,INT32,0,1129,0.0
RC_MAP_ROLL,INT32,1,1130,1.401298464324817e-45
RC_MAP_TERM_SW,INT32,0,1131,0.0
RC_MAP_THROTTLE,INT32,3,1132,4.203895392974451e-45
RC_MAP_TRANS_SW,INT32,8,1133,1.1210387714598537e-44
RC_MAP_YAW,INT32,4,1134,5.605193857299268e-45
RC_OFFB_TH,REAL32,0.75,1135,0.75
RC_PAYLOAD_MIDTH,REAL32,0.25,1136,0.25
RC_PAYLOAD_TH,REAL32,0.75,1137,0.75
RC_RETURN_TH,REAL32,0.75,1138,0.75
RC_RSSI_PWM_CHAN,INT32,0,1139,0.0
RC_RSSI_PWM_MAX,INT32,2000,1140,2.802596928649634e-42
RC_RSSI_PWM_MIN,INT32,1000,1141,1.401298464324817e-42
RC_TRANS_TH,REAL32,0.75,1142,0.75
RO_SPEED_LIM,REAL32,-1.0,1143,-1.0
RTL_APPR_FORCE,INT32,0,1144,0.0
RTL_CONE_ANG,INT32,45,1145,6.305843089461677e-44
RTL_DESCEND_ALT,REAL32,30.0,1146,30.0
RTL_LAND_DELAY,REAL32,0.0,1147,0.0
RTL_LOITER_RAD,REAL32,80.0,1148,80.0
RTL_MIN_DIST,REAL32,10.0,1149,10.0
RTL_PLD_MD,INT32,0,1150,0.0
RTL_RETURN_ALT,REAL32,60.0,1151,60.0
RTL_TIME_FACTOR,REAL32,1.100000023841858,1152,1.100000023841858
RTL_TIME_MARGIN,INT32,100,1153,1.401298464324817e-43
RTL_TYPE,INT32,1,1154,1.401298464324817e-45
RWTO_MAX_THR,REAL32,1.0,1155,1.0
RWTO_NUDGE,INT32,1,1156,1.401298464324817e-45
RWTO_PSP,REAL32,0.0,1157,0.0
RWTO_RAMP_TIME,REAL32,2.0,1158,2.0
RWTO_ROT_AIRSPD,REAL32,-1.0,1159,-1.0
RWTO_ROT_TIME,REAL32,1.0,1160,1.0
RWTO_TKOFF,INT32,0,1161,0.0
SDLOG_BACKEND,INT32,3,1162,4.203895392974451e-45
SDLOG_BOOT_BAT,INT32,0,1163,0.0
SDLOG_DIRS_MAX,INT32,0,1164,0.0
SDLOG_MAX_SIZE,INT32,1024,1165,1.4349296274686127e-42
SDLOG_MISSION,INT32,0,1166,0.0
SDLOG_MODE,INT32,0,1167,0.0
SDLOG_PROFILE,INT32,1,1168,1.401298464324817e-45
SDLOG_ROTATE,INT32,90,1169,1.2611686178923354e-43
SDLOG_UTC_OFFSET,INT32,0,1170,0.0
SDLOG_UUID,INT32,1,1171,1.401298464324817e-45
SENS_BARO_QNH,REAL32,1013.25,1172,1013.25
SENS_BARO_RATE,REAL32,20.0,1173,20.0
SENS_BAR_AUTOCAL,INT32,1,1174,1.401298464324817e-45
SENS_BOARD_ROT,INT32,8,1175,1.1210387714598537e-44
SENS_BOARD_X_OFF,REAL32,-2.2564966678619385,1176,-2.2564966678619385
SENS_BOARD_Y_OFF,REAL32,-0.541390597820282,1177,-0.541390597820282
SENS_BOARD_Z_OFF,REAL32,0.0,1178,0.0
SENS_DPRES_OFF,REAL32,-21.783477783203125,1179,-21.783477783203125
SENS_DPRES_REV,INT32,0,1180,0.0
SENS_EN_BATT,INT32,0,1181,0.0
SENS_EN_LL40LS,INT32,0,1182,0.0
SENS_EN_MS4525DO,INT32,1,1183,1.401298464324817e-45
SENS_EN_MS5525DS,INT32,0,1184,0.0
SENS_EN_SDP3X,INT32,0,1185,0.0
SENS_EN_SF1XX,INT32,0,1186,0.0
SENS_EN_TF02PRO,INT32,0,1187,0.0
SENS_EN_THERMAL,INT32,-1,1188,nan
SENS_EN_VL53L0X,INT32,0,1189,0.0
SENS_EN_VL53L1X,INT32,0,1190,0.0
SENS_EXT_I2C_PRB,INT32,1,1191,1.401298464324817e-45
SENS_GPS0_DELAY,INT32,110,1192,1.5414283107572988e-43
SENS_GPS0_ID,INT32,0,1193,0.0
SENS_GPS0_OFFX,REAL32,0.0,1194,0.0
SENS_GPS0_OFFY,REAL32,0.0,1195,0.0
SENS_GPS0_OFFZ,REAL32,0.0,1196,0.0
SENS_GPS1_DELAY,INT32,110,1197,1.5414283107572988e-43
SENS_GPS1_ID,INT32,0,1198,0.0
SENS_GPS1_OFFX,REAL32,0.0,1199,0.0
SENS_GPS1_OFFY,REAL32,0.0,1200,0.0
SENS_GPS1_OFFZ,REAL32,0.0,1201,0.0
SENS_GPS_MASK,INT32,7,1202,9.80908925027372e-45
SENS_GPS_PRIME,INT32,0,1203,0.0
SENS_GPS_TAU,REAL32,10.0,1204,10.0
SENS_IMU_AUTOCAL,INT32,1,1205,1.401298464324817e-45
SENS_IMU_CLPNOTI,INT32,1,1206,1.401298464324817e-45
SENS_IMU_MODE,INT32,0,1207,0.0
SENS_MAG_AUTOCAL,INT32,0,1208,0.0
SENS_MAG_AUTOROT,INT32,1,1209,1.401298464324817e-45
SENS_MAG_MODE,INT32,1,1210,1.401298464324817e-45
SENS_MAG_RATE,REAL32,15.0,1211,15.0
SENS_MAG_SIDES,INT32,63,1212,8.828180325246348e-44
SENS_SF0X_CFG,INT32,0,1213,0.0
SENS_TFMINI_CFG,INT32,0,1214,0.0
SENS_ULAND_CFG,INT32,0,1215,0.0
SEP_PORT1_CFG,INT32,0,1216,0.0
SEP_PORT2_CFG,INT32,0,1217,0.0
SER_GPS1_BAUD,INT32,0,1218,0.0
SER_TEL1_BAUD,INT32,57600,1219,8.071479154510946e-41
SYS_AUTOCONFIG,INT32,0,1220,0.0
SYS_AUTOSTART,INT32,13000,1221,1.8216880036222622e-41
SYS_CAL_TDEL,INT32,24,1222,3.363116314379561e-44
SYS_CAL_TMAX,INT32,10,1223,1.401298464324817e-44
